Source,Target,Weight
#DeFi,transaction,4
#MEV,#ethereum,7
#DeFi,#ethereum,2
#DeFi,#ETH,4
transaction,#ethereum,1
transaction,#ETH,2
#ethereum,#ETH,3
#Flashbots,NFT,17
#Flashbots,EST,17
transactions,NFT,14
transactions,EST,14
transactions,mint,14
transactions,bloXrouteLabs,16
NFT,EST,14
NFT,mint,16
NFT,bloXrouteLabs,14
EST,mint,14
EST,bloXrouteLabs,14
mint,bloXrouteLabs,14
#MEV,team,6
#MEV,bloXrouteLabs,3
team,bloXrouteLabs,1
Flashbots,bertcmiller,3
Flashbots,front,3
bertcmiller,front,2
#flashbots,transaction,16
MEV,transaction,9
#flashbots,#ETH,8
#flashbots,opensea,69
#flashbots,Support,65
#flashbots,artist,65
#flashbots,grow,65
#flashbots,Shill,65
#flashbots,Shizzlebotz,65
#flashbots,#nftshill,65
#flashbots,#PolygonNFT,65
#flashbots,#openseaNFT,65
opensea,Support,65
opensea,artist,65
opensea,grow,65
opensea,Shill,65
opensea,Shizzlebotz,65
opensea,#nftshill,65
opensea,#PolygonNFT,65
opensea,#openseaNFT,65
Support,artist,65
Support,grow,65
Support,Shill,65
Support,Shizzlebotz,65
Support,#nftshill,65
Support,#PolygonNFT,65
Support,#openseaNFT,65
artist,grow,65
artist,Shill,65
artist,Shizzlebotz,65
artist,#nftshill,65
artist,#PolygonNFT,65
artist,#openseaNFT,65
grow,Shill,65
grow,Shizzlebotz,65
grow,#nftshill,65
grow,#PolygonNFT,65
grow,#openseaNFT,65
Shill,Shizzlebotz,65
Shill,#nftshill,65
Shill,#PolygonNFT,65
Shill,#openseaNFT,65
Shizzlebotz,#nftshill,65
Shizzlebotz,#PolygonNFT,65
Shizzlebotz,#openseaNFT,65
#nftshill,#PolygonNFT,65
#nftshill,#openseaNFT,65
#PolygonNFT,#openseaNFT,65
#flashbots,#DeFi,14
#mev,bertcmiller,3
ETH,transaction,6
ETH,transactions,4
ETH,Ethereum,2
transactions,Ethereum,2
ETH,team,3
#Flashbots,front,10
#Flashbots,miners,15
MEV,miners,12
Flashbots,miners,5
Flashbots,team,5
#Ethereum,miners,6
#Ethereum,team,1
miners,team,1
#flashbots,miners,18
thegostep,miners,3
thegostep,transaction,1
miners,transaction,1
#MEV,NFT,2
transactions,gas,5
#flashbots,MIST,24
gas,NFT,3
gas,mint,2
#flashbots,gas,22
ETH,gas,7
ETH,miners,10
transactions,miners,4
gas,miners,4
#Ethereum,transaction,2
#MEV,front,5
#MEV,running,2
#DeFi,front,3
#DeFi,running,1
Ethereum,front,1
Ethereum,running,2
MEV,opensea,1
MEV,NFT,2
#MEV,opensea,1
opensea,Ethereum,1
opensea,transaction,1
opensea,NFT,1
Ethereum,transaction,1
Ethereum,NFT,1
transaction,NFT,1
#Ethereum,front,3
transaction,front,6
gas,#FlashBots,1
#FlashBots,mint,1
#MEV,miners,3
bertcmiller,#ethereum,2
ETH,thegostep,2
ETH,front,5
transaction,running,3
#MEV,MIST,10
Flashbots,gas,3
#flashbots,mist,64
MEV,mist,4
mist,transactions,3
transactions,front,4
gas,front,4
#Flashbots,mist,19
mist,thegostep,7
#flashbots,mistXlabs,13
mist,#mev,11
Flashbots,transaction,4
#flashbots,#mistX,19
mist,#mistX,15
mist,EST,6
#mistX,EST,3
#flashbots,mint,2
ETH,NFT,1
ETH,mint,1
mist,mistXlabs,14
#mev,mistXlabs,4
#MEV,mist,10
#MEV,mistXlabs,1
mist,front,1
mist,running,1
#mev,front,2
#mev,running,1
front,mistXlabs,1
running,mistXlabs,1
#Flashbots,mistXlabs,8
thegostep,MIST,5
Flashbots,NFT,2
Flashbots,mistXlabs,2
NFT,mistXlabs,1
#flashbots,#Flashbots,1
mist,#Ethereum,2
mist,#DeFi,4
mist,#ETH,2
#mev,#ETH,2
#ETH,mistXlabs,1
miners,running,1
miners,#ETH,2
running,#ETH,2
team,mistXlabs,1
mist,Flashbots,4
#MEV,#mistX,7
#Ethereum,#mistX,3
#mev,#DeFi,1
#Flashbots,MIST,12
Flashbots,MIST,4
Flashbots,mint,1
MIST,transaction,4
MIST,mint,1
transaction,mint,2
Flashbots,#DeFi,4
#Ethereum,bertcmiller,1
bertcmiller,#ETH,1
Ethereum,mint,1
#FlashBots,NFT,1
thegostep,gas,4
thegostep,NFT,1
gas,MIST,7
MIST,NFT,1
ETH,#DeFi,1
#MEV,gas,3
gas,transaction,3
#mev,#mistX,3
mist,team,4
ETH,MIST,8
#Ethereum,MIST,1
#Ethereum,running,2
MIST,front,7
MIST,running,6
MEV,MIST,5
ETH,#ethereum,4
miners,#ethereum,2
transactions,transaction,3
transactions,running,3
transaction,#FlashBots,1
#FlashBots,front,1
#FlashBots,#ETH,1
front,#ETH,1
#Flashbots,#mistX,9
gas,Ethereum,2
MEV,#mistX,3
#mev,thegostep,2
#mev,miners,2
#mev,MIST,1
miners,MIST,1
Flashbots,#mistX,2
ETH,mist,2
transactions,MIST,3
transactions,#mistX,3
MIST,#mistX,4
ETH,bloXrouteLabs,1
miners,bloXrouteLabs,1
ETH,#mistX,3
Flashbots,thegostep,3
MIST,#FlashBots,2
transaction,#mistX,2
gas,#mistX,2
gas,running,3
#mistX,front,1
#mistX,running,1
transactions,team,2
ETH,#mev,1
mist,gas,1
#Ethereum,gas,4
Flashbots,#ethereum,1
miners,#DeFi,1
team,transaction,1
miners,bertcmiller,3
MIST,team,1
gas,#ETH,1
MIST,#ETH,1
team,#FlashBots,1
transactions,bertcmiller,1
bertcmiller,running,1
gas,#DeFi,2
mist,#FlashBots,1
#Flashbots,opensea,1
opensea,#DeFi,1
opensea,bertcmiller,2
#DeFi,bertcmiller,1
MEV,EST,2
#MEV,EST,1
Flashbots,EST,1
gas,#ethereum,1
#flashbots,#riverfrontrocks,10
#Flashbots,#riverfrontrocks,15
Flashbots,#riverfrontrocks,2
team,#riverfrontrocks,1
