,Date,Tweets
22,2022-09-30 13:06:42+00:00,"@EigenPhi 🚨 : 🥪 #MEV caused trader losing $528 , using  ( $WETH , $UNI-V2 , $Vulture ). Source: @EigenPhi
https://t.co/Y1xT7Wj3v4"
23,2022-09-30 13:05:51+00:00,"@EigenPhi 🚨 : 🥪 #MEV caused trader losing $3,015 , using  ( $WETH , $USDC , $USDT ). Source: @EigenPhi
https://t.co/75yqpM8oy0"
24,2022-09-30 13:05:06+00:00,"🚨 : 🥪 #MEV caused trader losing $872 , using  ( $WETH , $BabyTsuka ). Source: @EigenPhi
https://t.co/KEaaje3kFc"
25,2022-09-30 13:04:07+00:00,"🚨🚨🚨 Keep an eye on this #SandwichAttacker!😈😈😈
This #MEV contract made a profit of $9,789 with an ROI of 750.2% in 7 days, via 2616 🥪$.
https://t.co/Jz3qapPgFu"
26,2022-09-30 13:03:10+00:00,"🚨🚨🚨 Keep an eye on this #SandwichAttacker!😈😈😈
This #MEV contract made a profit of $79,890 with an ROI of 4,729.6% in 7 days, via 1434 🥪$.
https://t.co/BSBU9yReTZ"
27,2022-09-30 13:02:18+00:00,"🚨🚨🚨 Keep an eye on this #SandwichAttacker!😈😈😈
This #MEV contract made a profit of $13,290 with an ROI of 8,461.3% in 7 days, via 485 🥪$.
https://t.co/zYC9urRgBW"
28,2022-09-30 12:46:16+00:00,"Hoy hace 1 año que comencé a trabajar con  @CTFCapital.

Lo que aprendí y crecí este gracias a ustedes, no tiene nombre.

Este primer año me deja algo hermoso y extremadamente 🤓 que es el #DarkForest (#MEV).

Gracias por darme el espacio de hacer lo que me encanta!

🤓🤓🤓"
29,2022-09-30 12:44:26+00:00,"@Eigenphi 
#EigenPhi #Arbitrages #DeFi #MEV #Meme #EigenTx #EverythingComplexTx https://t.co/jXENPRKMek"
30,2022-09-30 12:44:22+00:00,"@Eigenphi 
#EigenPhi #Arbitrages #DeFi #MEV #Meme #EigenTx #EverythingComplexTx https://t.co/PdIliDFTq8"
31,2022-09-30 12:41:23+00:00,"@Eigenphi 
#EigenPhi #Arbitrages #DeFi #MEV #Meme #EigenTx #EverythingComplexTx https://t.co/SQF1EbgPlj"
32,2022-09-30 12:41:18+00:00,"@Eigenphi 
#EigenPhi #Arbitrages #DeFi #MEV #Meme #EigenTx #EverythingComplexTx https://t.co/GXHFuQJcoe"
33,2022-09-30 12:28:32+00:00,"My entry

#EigenPhi #Arbitrages #DeFi #MEV #Meme #Eigentx #EverythingComplexTx
@EigenPhi

@EigenPhi_Alert https://t.co/Tver5VS9Oy"
34,2022-09-30 12:27:32+00:00,"My entry

#EigenPhi #Arbitrages #DeFi #MEV #Meme #Eigentx #EverythingComplexTx
@EigenPhi
 
@EigenPhi_Alert"
35,2022-09-30 12:10:48+00:00,@MEVerseOfficial #LFG #ToTheMoon #MEV
36,2022-09-30 12:02:40+00:00,"@patrimonigencat @vic_cultura @CulturaCCentral @cultura_cat 🗨 Ho debatrem i experimentarem en clau artística al #MEV dins del cicle 'Dona havia de ser'
🗓 Dissabte 1 d'octubre
🕥 A les 11 h
➕ info ♾ https://t.co/tYN0UExkiP
#art #artmedieval #patrimoni #museus #cultura #feminisme 
🧵 Fil (2/2)"
37,2022-09-30 11:33:43+00:00,"#MEV 🤖 Our user made a profit of $79,441 with an ROI of 4,483.8% in 7 days, via 1484 sandwich trades. 

https://t.co/ByBCZbklXp"
38,2022-09-30 11:06:39+00:00,"#MEV A very profitable MEV bot, internally named as 0xbad, was somehow tricked/hacked with 1,101 ETH loss (~$1.45M) in the…"
39,2022-09-30 10:22:43+00:00,"The story of 0xbaDc0dE, an #MEV bot who gained and lost it all in a few hours tonight 🤖

https://t.co/gip2iprzt9

@bertcmiller $ETH #Ethereum 

(2/n)"
40,2022-09-30 10:09:14+00:00,Trading pair:#MEV/#USDT
41,2022-09-30 09:36:42+00:00,"Things got interesting when soon after this MEV attack, a rich 0xbadcode got sniped by an attacker who found the mysterious loophole in the bot’s code. 

#MEV"
42,2022-09-30 09:36:40+00:00,"On 28-09, when an innocent trader tried to swap their #cUSD (compound) to $USDC on the @Uniswap, the MEV bot 0xbadcode, which has been exploiting the users for a ton of money, came into play. 

#uniswap #MEV"
43,2022-09-30 09:36:39+00:00,"When @paradigm_ctf calls #Ethereum a dark forest, you have no choice but to accept the harsh truth. MEV attacks are an unavoidable fact of the #Ethereum network, any naivete while handling sums of money can cost you Ms of $$. 

#blockapex #MEV"
44,2022-09-30 08:58:26+00:00,"My Entry, please reach my meme
https://t.co/HBEif0wacc
#EigenPhi #Arbitrages #DeFi #MEV #Meme #EigenTx #EverythingComplexTx #MEMES 
@EigenPhi https://t.co/1YbfiOOctu"
45,2022-09-30 08:51:15+00:00,"#ETH 转 #POS 后，
#MEV 将面临什么问题、受到哪些影响？

📖 可以通过阅读以下文章进一步理解"
46,2022-09-30 08:35:14+00:00,"https://t.co/cvuxJjloMl
Cosmos 2.0 第二期：interchain allocator 和interchain schedular如何正向循环壮大cosmos的生态，6亿美金的mev市场在cosmos合理分配
#cosmos2.0,#cosmos,#atom,#mev,#interchainallocator,#interchainscheduler"
47,2022-09-30 08:11:10+00:00,"@Eigenphi 
#EigenPhi #Arbitrages #DeFi #MEV #Meme #EigenTx #EverythingComplexTx https://t.co/YJMICSdzYP"
48,2022-09-30 08:11:09+00:00,"@Eigenphi 
#EigenPhi #Arbitrages #DeFi #MEV #Meme #EigenTx #EverythingComplexTx https://t.co/UX7cskM7CU"
49,2022-09-30 08:11:08+00:00,"@Eigenphi 
#EigenPhi #Arbitrages #DeFi #MEV #Meme #EigenTx #EverythingComplexTx https://t.co/HIhrsNZOcP"
50,2022-09-30 08:11:08+00:00,"@Eigenphi 
#EigenPhi #Arbitrages #DeFi #MEV #Meme #EigenTx #EverythingComplexTx https://t.co/Nz58sw84r8"
51,2022-09-30 08:11:07+00:00,"@Eigenphi 
#EigenPhi #Arbitrages #DeFi #MEV #Meme #EigenTx #EverythingComplexTx https://t.co/Fpke36A79t"
52,2022-09-30 08:11:07+00:00,"@Eigenphi 
#EigenPhi #Arbitrages #DeFi #MEV #Meme #EigenTx #EverythingComplexTx https://t.co/qR8zBGLOzY"
53,2022-09-30 08:11:07+00:00,"@Eigenphi 
#EigenPhi #Arbitrages #DeFi #MEV #Meme #EigenTx #EverythingComplexTx https://t.co/0yd08Lwfkt"
54,2022-09-30 08:05:11+00:00,"web3故事大全之 螳螂捕蝉黄雀在后

一起 #MEV 攻击事件
大致是，有用户在 Uniswap v2 上将 185 万美元的cUSD兑换成USDC，结果只得到 500 美元的USDC。而 MEV 机器人（合约前缀0xbaDc0dE）从中套利获得了 800 枚eth。但仅在一个小时后，0xbaDc0dE 便被攻击者盗走了所有的eth (1101枚)，包括这笔巨大利润 https://t.co/WFIbcujLjq"
55,2022-09-30 07:59:14+00:00,"#MEV used $4,409,298 ( $DAI )  #flashloan ⚡️ from Balancer #Balancer, then to make $310 from #arbitrage , using 4 tokens ( $USDC , $WETH , $USDT , $DAI ) @EigenPhi
https://t.co/oRzIx98czr"
56,2022-09-30 07:58:15+00:00,"#MEV used $4,429,369 ( $USDT )  #flashloan ⚡️ from Balancer #Balancer, then to make $310 from #arbitrage , using 4 tokens ( $USDC , $WETH , $USDT , $DAI ) @EigenPhi
https://t.co/phC8lrqtv1"
57,2022-09-30 07:41:34+00:00,"What😱😱😱
@EigenPhi #EigenPhi #Arbitrages #DeFi #MEV #Meme #EigenTx #EverythingComplexTx https://t.co/tkhsx40XDI"
58,2022-09-30 07:40:58+00:00,@EigenPhi #EigenPhi #Arbitrages #DeFi #MEV #Meme #EigenTx #EverythingComplexTx https://t.co/qrZR35SeXK
59,2022-09-30 07:40:27+00:00,"#EigenPhi #Arbitrages #DeFi #MEV #Meme #EigenTx #EverythingComplexTx
@EigenPhi https://t.co/EVMRq1KH7v"
60,2022-09-30 06:55:41+00:00,New post: 45% of ETH validators now complying with US sanctions — Labrys CEO https://t.co/xTeyWuMzpb #Censorship #Flashbots #Labrys #MEV-boostRelay
61,2022-09-30 06:29:17+00:00,"🚨🚨 CRYPTO NEWS ALERT! 🚨🚨

45% of ETH validators now complying with US sanctions — Labrys CEO

https://t.co/GJvljx4TC7

#Flashbots #MEV-boostrelay #Labrys #censorship #yield #OFAC #Crypto #BTC #ETH #DOGE"
62,2022-09-30 06:10:55+00:00,"You can buy #GMT at $0.667 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxBCIZ"
63,2022-09-30 05:56:12+00:00,"You can buy #ETH at $1,285.1 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxBCIZ"
64,2022-09-30 05:56:12+00:00,"You can buy #CAKE at $4.632 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxBCIZ"
65,2022-09-30 05:56:12+00:00,"You can buy #BTC at $18,743.1 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxBCIZ"
66,2022-09-30 05:56:12+00:00,"You can buy #BNB at $269.55 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxBCIZ"
67,2022-09-30 05:28:14+00:00,"来到web 3,我们麻豆是认真的从未令人失望，你可以永远相信他，我们NFT持有者不仅是终生麻豆会员、还可以每月得到期待的回报（在这个熊市给予的一点点温暖）💓@mev_official
#ETH #NFTs #MEV https://t.co/36JmSNHs3I"
68,2022-09-30 03:21:26+00:00,"You can buy #ETH at $1,285.1 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxTdAx"
69,2022-09-30 03:14:02+00:00,"You can buy #CAKE at $4.632 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxTdAx"
70,2022-09-30 03:00:49+00:00,"You can buy #BTC at $18,743.1 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxTdAx"
71,2022-09-30 02:56:11+00:00,"You can buy #BNB at $269.55 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxTdAx"
72,2022-09-30 02:47:16+00:00,针对有些 MEV-Boost 中继会接受 #OFAC 的监管，由此有些交易会被审查的问题，澳大利亚一个领先的区块链开发机构 Labrys 搭建了 MEV Watch 网站，大家可以使用这个工具查看合并后有多少区块是符合 OFAC 规定的。目前的比例是 24%。https://t.co/RQ0ab1YZho (Collected by Stephanie) #MEV  @Labrys_io
73,2022-09-29 23:59:09+00:00,"#MEV used $4,263,765 ( $USDC )  #flashloan ⚡️ from Balancer #Balancer, then to make $254 from #arbitrage , using 8… https://t.co/nQLrMndx2K"
74,2022-09-29 22:17:48+00:00,"#MEV 🤖 made $1,461 with a ROI of 16% from #arbitrage , using 3 tokens ( $USDC , $WETH , $USDT ): 
https://t.co/N0aGpQWCfh"
75,2022-09-29 22:10:31+00:00,"#MEV 🤖 Our user made a profit of $13,331 , using  ( $WETH , $USDC , $USDT , $DAI , $aDAI , $aWETH ) via sandwich trade.
https://t.co/OQL1PtLJ32"
76,2022-09-29 20:57:16+00:00,"#MEV used $3,796,102 ( $USDT )  #flashloan ⚡️ from Balancer #Balancer, then to make $389 from #arbitrage , using 7 tokens ( $aUSDT , $USDC , $variableDebtUSDT , $WETH , $USDT , $DAI , $aWETH ) @EigenPhi
https://t.co/wVK9CzDpV1"
77,2022-09-29 20:50:29+00:00,"@EigenPhi 🚨 : 🥪 #MEV caused trader losing $13,331 , using  ( $WETH , $USDC , $USDT , $DAI , $aDAI , $aWETH ). Source: @EigenPhi
https://t.co/o7gP9S1Pql"
78,2022-09-29 20:49:48+00:00,"@EigenPhi 🚨 : 🥪 #MEV caused trader losing $9,170 , using  ( $WETH , $USDC , $USDT , $DAI ). Source: @EigenPhi
https://t.co/WyzOqGduDc"
79,2022-09-29 20:49:06+00:00,"🚨 : 🥪 #MEV caused trader losing $10,054 , using  ( $WETH , $USDC , $USDT , $DAI , $aDAI , $aWETH ). Source: @EigenPhi
https://t.co/NiB6VJOJgt"
80,2022-09-29 20:48:15+00:00,"🚨🚨🚨 Keep an eye on this #SandwichAttacker!😈😈😈
This #MEV contract made a profit of $3,835 with an ROI of 6,537.6% in 7 days, via 152 🥪$.
https://t.co/crs0OrbDyr"
81,2022-09-29 20:48:00+00:00,"Is Ethereum Under Attack? Unpacking the MEV-Boost Censorship Controversy
#bitcoin #nfts #eth #mev
https://t.co/19xye8rFIH"
82,2022-09-29 20:47:07+00:00,"🚨🚨🚨 Keep an eye on this #SandwichAttacker!😈😈😈
This #MEV contract made a profit of $15,572 with an ROI of 2,510.6% in 7 days, via 26 🥪$.
https://t.co/Qr5SaN5yJ6"
83,2022-09-29 20:46:11+00:00,"🚨🚨🚨 Keep an eye on this #SandwichAttacker!😈😈😈
This #MEV contract made a profit of $79,441 with an ROI of 4,483.8% in 7 days, via 1484 🥪$.
https://t.co/yIkA7EFIkx"
84,2022-09-29 19:29:15+00:00,"#MEV 🤖 made $2,589 with a ROI of 35% from #arbitrage , using 6 tokens ( $USDC , $aDAI , $WETH , $DAI , $USDT , $aWETH ): 
https://t.co/qt31zuJrWr"
85,2022-09-29 18:43:29+00:00,"Ever wanted to try Bot trading? Come check us out!

#BSC #bots #MEV"
86,2022-09-29 18:02:05+00:00,"🧐 Una visió general del romànic t'ajudarà a comprendre i contextualitzar les peces del #MEV. 
👣 La visita 'Visió romànica' és el punt de partida d’un recorregut per fer un tast de la col·lecció romànica i la contemplació de #Vic des del ⛪ campanar romànic ➕ alt de Catalunya. https://t.co/zzPzeG0paL"
87,2022-09-29 18:00:00+00:00,"[Market depth] 
$Token &gt; Buy : Sell
$GST &gt; 13,011.73 : 15,619.98
$MBOX &gt; 2,390.71 : 3,008.23

💰Try trading for free!💰 
Always better than #DEX, #MEV protection, #Slippage zero"
88,2022-09-29 17:54:07+00:00,"You can buy #GMT at $0.667 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxBCIZ"
89,2022-09-29 17:54:06+00:00,"You can buy #ETH at $1,285.1 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxBCIZ"
90,2022-09-29 17:54:06+00:00,"You can buy #CAKE at $4.632 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxBCIZ"
91,2022-09-29 17:54:05+00:00,"You can buy #BTC at $18,743.1 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxBCIZ"
92,2022-09-29 17:54:05+00:00,"You can buy #BNB at $269.55 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxBCIZ"
93,2022-09-29 17:15:16+00:00,"My expresi @Eigenphi
#EigenPhi #Arbitrages #DeFi #MEV #Meme #EigenTx #EverythingComplexTx https://t.co/sfsrCpAzOf"
94,2022-09-29 17:13:38+00:00,"""It’s important for validators in PoS to have access to MEV so that stake does not disproportionately accrue to only some validators.""

What's your take on this situation?

#ETH #Validator #MEV 
https://t.co/OIbMFZ0Mn7"
95,2022-09-29 16:45:00+00:00,"Did you know that we now support all the #ETH validators operated by InfStones to participate in #MEV? 

This will increase user rewards by up to 50%! 🎉
Check it out 📲: https://t.co/jW1cWRf2DK https://t.co/WGUMbQIKW6"
96,2022-09-29 16:33:25+00:00,"🚨🚨🚨 Keep an eye on this #SandwichAttacker!😈😈😈
This #MEV contract made a profit of $20,153 with an ROI of 631.7% in 7 days, via 2640 🥪$.
https://t.co/5MvrwaykWL"
97,2022-09-29 16:32:38+00:00,"🚨🚨🚨 Keep an eye on this #SandwichAttacker!😈😈😈
This #MEV contract made a profit of $12,879 with an ROI of 2,611.8% in 7 days, via 24 🥪$.
https://t.co/Qr5SaN5yJ6"
98,2022-09-29 16:31:42+00:00,"🚨🚨🚨 Keep an eye on this #SandwichAttacker!😈😈😈
This #MEV contract made a profit of $77,428 with an ROI of 5,152.6% in 7 days, via 1458 🥪$.
https://t.co/yIkA7EWLmx"
99,2022-09-29 16:27:22+00:00,"#MEV 🤖 Our user made a profit of $13,331 , using  ( $WETH , $USDC , $USDT , $DAI , $aDAI , $aWETH ) via sandwich trade.

https://t.co/DZ3E9ULqhI"
100,2022-09-29 16:18:02+00:00,"My meme 😅
#EigenPhi #Arbitrages #DeFi #MEV #Meme #EigenTx #EverythingComplexTx  @Eigenphi https://t.co/XCsVFc7tx8"
101,2022-09-29 16:06:39+00:00,"EigenTx Extension v1.3 Released! Visualizing tx flow directly on #Etherscan and #BSCscan, it streamlines and simplifies complex transfers while supporting Mint, Burn, #FlashLoan, #Liquidation, #Arbitrage, and Sandwich #MEV. Check out the video intro: https://t.co/LmkykBB0tB"
102,2022-09-29 14:56:04+00:00,"You can buy #ETH at $1,285.1 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxTdAx"
103,2022-09-29 14:39:37+00:00,"You can buy #GMT at $0.667 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxTdAx"
104,2022-09-29 14:39:36+00:00,"You can buy #CAKE at $4.632 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxTdAx"
105,2022-09-29 14:39:27+00:00,"You can buy #BTC at $18,743.1 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxCayx"
106,2022-09-29 14:39:04+00:00,"You can buy #BNB at $269.55 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxTdAx"
107,2022-09-29 14:34:12+00:00,@bertcmiller @SaveToNotion #Thread #MEV #hack
108,2022-09-29 14:32:51+00:00,"MEV Crypto Bot Gains $1M But Loses Same To Hack Same Day
#bitcoin #nfts #mev
https://t.co/dl9xLlWjyQ"
109,2022-09-29 14:04:53+00:00,"You are now able to take advantage of arbitrages, a benefit that was previously only available to highly skilled devs. Get access to our user-friendly #MEV bot and enjoy stress-free passive income from day one. Learn how: https://t.co/zMxUcK3INK https://t.co/8NTDu0IpdI"
110,2022-09-29 13:56:01+00:00,"You can buy #ETH at $1,285.1 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxCayx"
111,2022-09-29 13:39:35+00:00,"You can buy #GMT at $0.667 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxCayx"
112,2022-09-29 13:39:34+00:00,"You can buy #CAKE at $4.632 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxCayx"
113,2022-09-29 13:39:26+00:00,"You can buy #BTC at $18,743.1 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxTdAx"
114,2022-09-29 13:39:03+00:00,"You can buy #BNB at $269.55 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxCayx"
115,2022-09-29 13:36:56+00:00,@DaveM747 @CryptoWalts If #MEV is implemented 0.2 will be too cheap. $1+ target if they can make it happen.
116,2022-09-29 13:29:15+00:00,"#MEV used $4,462,716 ( $DAI )  #flashloan ⚡️ from Balancer #Balancer, then to make $507 from #arbitrage , using 6 tokens ( $USDC , $aDAI , $WETH , $USDT , $DAI , $aWETH ) @EigenPhi
https://t.co/GCxl1A8psf"
117,2022-09-29 13:27:46+00:00,"#MEV used $4,470,089 ( $USDT )  #flashloan ⚡️ from Balancer #Balancer, then to make $507 from #arbitrage , using 6 tokens ( $USDC , $aDAI , $WETH , $USDT , $DAI , $aWETH ) @EigenPhi
https://t.co/bHGdk0XVfo"
118,2022-09-29 13:06:02+00:00,"@EigenPhi 🚨 : 🥪 #MEV caused trader losing $10,670 , using  ( $WETH , $USDC , $USDT , $DAI , $aDAI , $aWETH ). Source: @EigenPhi
https://t.co/gbbDqw0C6s"
119,2022-09-29 13:05:17+00:00,"@EigenPhi 🚨 : 🥪 #MEV caused trader losing $13,331 , using  ( $WETH , $USDC , $USDT , $DAI , $aDAI , $aWETH ). Source: @EigenPhi
https://t.co/o7gP9S1Pql"
120,2022-09-29 13:04:36+00:00,"🚨 : 🥪 #MEV caused trader losing $9,170 , using  ( $WETH , $USDC , $USDT , $DAI ). Source: @EigenPhi
https://t.co/WyzOqGduDc"
121,2022-09-29 13:03:41+00:00,"🚨🚨🚨 Keep an eye on this #SandwichAttacker!😈😈😈
This #MEV contract made a profit of $19,728 with an ROI of 645.3% in 7 days, via 2586 🥪$.
https://t.co/5MvrwaQuaT"
122,2022-09-29 13:02:44+00:00,"🚨🚨🚨 Keep an eye on this #SandwichAttacker!😈😈😈
This #MEV contract made a profit of $12,879 with an ROI of 2,611.8% in 7 days, via 24 🥪$.
https://t.co/Qr5SaN5yJ6"
123,2022-09-29 13:01:47+00:00,"🚨🚨🚨 Keep an eye on this #SandwichAttacker!😈😈😈
This #MEV contract made a profit of $75,981 with an ROI of 5,464.1% in 7 days, via 1435 🥪$.
https://t.co/yIkA7EFIkx"
124,2022-09-29 12:54:37+00:00,"My meme entry @EigenPhi
#EigenPhi #Arbitrages #DeFi #MEV #Meme #EigenTx #EverythingComplexTx https://t.co/80wQII6EiM"
125,2022-09-29 12:48:28+00:00,"@shimmernet It’s about eliminating #MEV (a huge issue on other blockchains). Thanks to IOTA, it's not possible to front-run the ShimmerSea DEX, as the meme pool is completely randomized, making it a safer place for users."
126,2022-09-29 12:44:14+00:00,"#MEV used $4,324,652 ( $DAI )  #flashloan ⚡️ from Balancer #Balancer, then to make $1,140 from #arbitrage , using 6 tokens ( $USDC , $aDAI , $WETH , $USDT , $DAI , $aWETH ) @EigenPhi
https://t.co/HPKY604dXA"
127,2022-09-29 12:43:14+00:00,"#MEV used $4,389,640 ( $USDT )  #flashloan ⚡️ from Balancer #Balancer, then to make $1,140 from #arbitrage , using 6 tokens ( $USDC , $aDAI , $WETH , $USDT , $DAI , $aWETH ) @EigenPhi
https://t.co/k0X79NoN3z"
128,2022-09-29 12:42:15+00:00,"#MEV 🤖 made $1,140 with a ROI of 12% from #arbitrage , using 6 tokens ( $USDC , $aDAI , $WETH , $USDT , $DAI , $aWETH ): 
https://t.co/afpuhF23r1"
